street,city,zipcode,no_rooms,size_in_sq_m,year_of_construction,price,sale_date_str
"H.C. Ørsteds Vej 27, 4. 25",Frederiksberg C,1879,2,73,1968,1625000.0,18-05-2017
Hauchsvej 10,Frederiksberg C,1825,7,216,1873,3500000.0,15-05-2017
"Forchhammersvej 29, 1. TH",Frederiksberg C,1920,5,102,1901,1700000.0,11-05-2017
"Gammel Kongevej 164, 1. TH",Frederiksberg C,1850,5,144,1884,3000000.0,11-05-2017
"Jakob Dannefærds Vej 9, 1. TH",Frederiksberg C,1973,3,87,1890,2000000.0,10-05-2017
"Steenstrups Alle 7, 2. TV",Frederiksberg C,1924,4,94,1898,5495000.0,10-05-2017
"Amalievej 22, 3. TH",Frederiksberg C,1875,5,127,1904,2992500.0,04-05-2017
"Dr. Priemes Vej 10, 4. TH",Frederiksberg C,1854,5,119,1902,5895000.0,27-04-2017
"H.C. Ørsteds Vej 59, 2. TH",Frederiksberg C,1879,4,127,1891,5400000.0,26-04-2017
"Kingosgade 11, 4. 107",Frederiksberg C,1818,2,57,1970,1350000.0,24-04-2017
"Gammel Kongevej 151, 2. 3",Frederiksberg C,1850,2,58,1974,1380000.0,24-04-2017
"J.M.Thieles Vej 10B, 2",Frederiksberg C,1961,2,74,1878,3400000.0,23-04-2017
"Madvigs Alle 3, 1. TH",Frederiksberg C,1829,4,152,1896,5900000.0,21-04-2017
"H.C. Ørsteds Vej 27, 2. 10",Frederiksberg C,1879,2,73,1968,1360000.0,20-04-2017
"Platanvej 6, 7. 2",Frederiksberg C,1810,2,72,1972,2800000.0,20-04-2017
"Edisonsvej 12, 4. TH",Frederiksberg C,1856,4,141,1891,6945000.0,15-04-2017
"Thorvaldsensvej 19, ST. TH",Frederiksberg C,1871,3,88,1909,1660000.0,12-04-2017
"Gammel Kongevej 72A, 4. TV",Frederiksberg C,1850,2,63,1941,1275000.0,06-04-2017
"Erik Menveds Vej 3, 1. TV",Frederiksberg C,1965,4,89,1886,3955000.0,06-04-2017
"Steenwinkelsvej 9, 2. MF",Frederiksberg C,1966,2,57,1967,2250000.0,05-04-2017
"Grundtvigsvej 5, 4. TH",Frederiksberg C,1864,4,119,1884,6670000.0,04-04-2017
"Lykkesholms Allé 7B, ST. TH",Frederiksberg C,1902,3,75,1904,3695000.0,03-04-2017
"Frederiksberg Alle 37, 2. TH",Frederiksberg C,1820,5,146,1889,7850000.0,02-04-2017
"Rosenørns Alle 58, 2. TV",Frederiksberg C,1970,4,87,1886,1800000.0,31-03-2017
"Worsaaesvej 12A, ST. TV",Frederiksberg C,1972,3,84,1876,1572500.0,30-03-2017
"Forchhammersvej 27, 1. TH",Frederiksberg C,1920,4,94,1901,4695000.0,29-03-2017
"Danasvej 39, ST. TV",Frederiksberg C,1910,3,65,1875,1725000.0,29-03-2017
"Vesterbrogade 171, 3. TH",Frederiksberg C,1800,5,127,1924,5100000.0,29-03-2017
"Gammel Kongevej 142, 2. TV",Frederiksberg C,1850,5,148,1884,1725000.0,28-03-2017
"Forchhammersvej 31, ST. TH",Frederiksberg C,1920,3,92,1901,2255000.0,27-03-2017
"Carl Bernhards Vej 13B, 1. 24",Frederiksberg C,1817,1,51,1970,1400000.0,26-03-2017
"Jakob Dannefærds Vej 10B, 1. TH",Frederiksberg C,1973,2,46,1885,2000000.0,26-03-2017
"H.C. Ørsteds Vej 54A, 3. TV",Frederiksberg C,1879,2,79,1938,3269368.0,26-03-2017
"Lykkesholms Allé 7C, ST. TV",Frederiksberg C,1902,2,69,1904,1360000.0,25-03-2017
"Niels Ebbesens Vej 22B, 3",Frederiksberg C,1911,3,64,1873,3095000.0,24-03-2017
Nyvej 13,Frederiksberg C,1851,10,316,1877,19000000.0,24-03-2017
"Rosenørns Alle 68, 3",Frederiksberg C,1970,5,147,1906,2423500.0,23-03-2017
"Henrik Ibsens Vej 6, ST. TV",Frederiksberg C,1813,3,71,1938,2900000.0,23-03-2017
"Platanvej 7, 8. 40",Frederiksberg C,1810,2,79,1976,2185000.0,22-03-2017
"Martensens Alle 4A, 3. TV",Frederiksberg C,1828,4,109,1896,5800000.0,19-03-2017
"Carl Bernhards Vej 13B, 1. 19",Frederiksberg C,1817,2,51,1970,2050000.0,18-03-2017
"Carl Plougs Vej 9, 5",Frederiksberg C,1913,4,130,1902,6900000.0,17-03-2017
"Grundtvigsvej 34, 1. TH",Frederiksberg C,1864,5,96,1880,4600000.0,15-03-2017
"Gammel Kongevej 148, 4. TH",Frederiksberg C,1850,6,224,1905,9850000.0,13-03-2017
"Christian Winthers Vej 1B, 2. TV",Frederiksberg C,1860,3,95,1900,4275000.0,11-03-2017
"Platanvej 5, 5. 92",Frederiksberg C,1810,3,80,1976,4500000.0,10-03-2017
"Harsdorffsvej 7B, 3. TH",Frederiksberg C,1874,3,72,1909,3400000.0,09-03-2017
"Sankt Thomas Alle 5A, 2. TH",Frederiksberg C,1824,4,112,1904,2400000.0,09-03-2017
"Bianco Lunos Alle 8, 1. TH",Frederiksberg C,1868,3,70,1969,3395000.0,08-03-2017
"Gammel Kongevej 72B, 3. TH",Frederiksberg C,1850,2,61,1941,2850000.0,07-03-2017
"Forhåbningsholms Alle 41B, 1",Frederiksberg C,1904,4,88,1870,3800000.0,06-03-2017
"Hollændervej 6, 2. TH",Frederiksberg C,1855,3,93,1896,4250000.0,05-03-2017
"Forhåbningsholms Alle 17B, 5. TV",Frederiksberg C,1904,2,58,1905,2700000.0,03-03-2017
"Bianco Lunos Alle 6, ST. TH",Frederiksberg C,1868,3,83,1969,3650000.0,01-03-2017
"Kochsvej 21, 3. TV",Frederiksberg C,1812,4,116,1898,5820000.0,01-03-2017
"Grundtvigsvej 7, 4. TH",Frederiksberg C,1864,2,68,1884,3200000.0,01-03-2017
"H.C. Ørsteds Vej 59A, ST. TH",Frederiksberg C,1879,3,86,1891,1600000.0,28-02-2017
"Madvigs Alle 3, 4. TH",Frederiksberg C,1829,6,196,1896,8400000.0,28-02-2017
"H.C. Ørsteds Vej 10, 2. TV",Frederiksberg C,1879,5,185,1938,6500000.0,26-02-2017
"Lykkesholms Allé 7C, ST. TH",Frederiksberg C,1902,2,65,1904,2820000.0,25-02-2017
"Erik Menveds Vej 3, ST. TH",Frederiksberg C,1965,4,89,1886,3875000.0,24-02-2017
"Madvigs Alle 5, 4. TV",Frederiksberg C,1829,4,102,1896,4795000.0,22-02-2017
"Frederiksberg Alle 6B, 1. TV",Frederiksberg C,1820,4,117,1869,6250000.0,21-02-2017
"Harsdorffsvej 6B, 1. TV",Frederiksberg C,1874,4,124,1905,5600000.0,20-02-2017
"N.J. Fjords Alle 2, ST. TV",Frederiksberg C,1957,3,75,1899,3400000.0,19-02-2017
"Åboulevard 49, 5",Frederiksberg C,1960,3,116,1904,4300000.0,19-02-2017
"H.C. Ørsteds Vej 27, 1. 5",Frederiksberg C,1879,2,73,1968,2950000.0,17-02-2017
"Harsdorffsvej 7, 4. TH",Frederiksberg C,1874,4,97,1909,4100000.0,16-02-2017
"Gammel Kongevej 95, 4. TH",Frederiksberg C,1850,5,188,1914,11250000.0,15-02-2017
"Sankt Thomas Alle 9, ST. TH",Frederiksberg C,1824,4,104,1904,4350000.0,14-02-2017
