street,city,zipcode,no_rooms,size_in_sq_m,year_of_construction,price,sale_date_str
Kærager 10,Spjald,6971,6,177,1972,1185000.0,28-04-2017
Sandbækvej 2,Spjald,6971,7,210,1925,62750.0,04-04-2017
Bygmarken 1,Spjald,6971,4,120,1970,765000.0,27-03-2017
Rundingen 6,Spjald,6971,3,98,1969,527500.0,23-03-2017
Hovervej 80,Spjald,6971,3,100,1962,385000.0,22-03-2017
Mosevej 9,Spjald,6971,8,203,1950,995000.0,21-03-2017
Fengersvej 14,Spjald,6971,5,148,1984,1170000.0,20-03-2017
Hovervej 85,Spjald,6971,6,242,1915,77550.0,01-03-2017
Fengersvej 40,Spjald,6971,5,138,2000,1415000.0,27-02-2017
Holstebrovej 30,Spjald,6971,5,199,1908,2004000.0,15-02-2017
Stadionvej 3,Spjald,6971,3,103,1981,540000.0,09-02-2017
Sandbækvej 18,Spjald,6971,6,136,1958,546657.0,08-02-2017
Mosdalvej 1,Spjald,6971,5,191,1941,1430000.0,07-02-2017
Svinget 4,Spjald,6971,8,161,1911,645000.0,23-01-2017
Rundingen 7,Spjald,6971,3,121,1972,400000.0,17-01-2017
Vestergade 7,Spjald,6971,4,143,1932,480000.0,11-01-2017
Skolevænget 2,Spjald,6971,5,120,1966,390000.0,02-01-2017
Muldbjerg Byvej 25,Spjald,6971,6,182,1937,11940000.0,23-12-2016
Hovervej 103,Spjald,6971,6,134,1962,15760000.0,23-12-2016
Hovedgaden 9,Spjald,6971,3,60,1947,350000.0,22-12-2016
Bøgevej 4,Spjald,6971,5,114,1965,475000.0,21-12-2016
Egevej 2,Spjald,6971,5,137,1993,715000.0,15-12-2016
Ørnhøjvej 23,Spjald,6971,4,112,1916,2340000.0,14-12-2016
Hovedgaden 62B,Spjald,6971,3,99,1925,345000.0,01-12-2016
Sønderkjærsvej 13,Spjald,6971,10,307,1900,136870.0,18-11-2016
Møllebakken 2,Spjald,6971,8,228,1925,800000.0,27-10-2016
Hovedgaden 58,Spjald,6971,7,208,1912,540000.0,10-10-2016
Møllebakken 5B,Spjald,6971,3,76,1981,350000.0,04-10-2016
Bøgevej 12,Spjald,6971,4,128,1969,675000.0,28-09-2016
Egevej 2A,Spjald,6971,4,115,1983,455000.0,21-09-2016
Skolegade 32,Spjald,6971,4,133,1966,671500.0,21-09-2016
Hovervej 123,Spjald,6971,5,130,1938,216000.0,09-09-2016
Slusbæk 18,Spjald,6971,5,140,1996,1060000.0,18-08-2016
Rudmosevej 5,Spjald,6971,6,194,1922,1795000.0,18-08-2016
Hasselvej 6,Spjald,6971,5,173,1976,1550000.0,10-08-2016
